suspendu;äelleq;
gros  ventre;äellidh;
bedaine;äellidh;
turban;äemam;
petit turban;äemamt;
laisser faire;äemmed;
faire exprès;äemmed;
tas;äemmurh;
bosse;äennuzs;
enflure;äennuzs;
long cou;äenqiq;
veiller;äiwez;
dot;ämamt;
treillage;cabane;ärict;
dos;ärur;
escarpement;ärur;
bosse;ärurt;
monticule;ärurt;
cheval;äudiw;
escargots;äuras;
honorer;äuzz;
avoir en grande estime;äuzz;
viatique;äwin;
aide;äwin;
la surdité;äzseg;
bulbe d’arum;baäuq;
maître;bab;
propriétaire;bab;
papa;baba;
mon père;baba;
perroquet;:;
être stérile;äeqer;
se gélifier;äeqer;
s;äeqer;
père;babat;
grain;äeqqa;
verroterie;äeqquc;
clan;äerc;
confédération de villages;äerc;
essayer;äeredh;
tester;äeredh;
goûter;äeredh;
pétrir;:;
travailler la pâte;:;
se perdre;äereq;
nu;äeryan;
dévêtu;äeryan;
sans effets;äeryan;
gardien;äessas;
surveillant;äessas;
sentinelle;äessas;
garde;äessast;
surveillance;äessast;
guet;äessast;
poste de garde;äessast;
gros ventre;äettidh;
bedaine;äettidh;
être tordu;äewej;
être sourd;äezseg;
devenir sourd;äezseg;
talus;babdar;
mule;bacmaq;
sandale;bacmaq;
secret;badhna;
secret;badhni;
caché;badhni;
pommes de terre;badtadta;
une pomme de terre;badtadtiwt;
gratuitement;badtel;
beaucoup -quantité-;bahan;
attention!;balakk;
fond d’huile;baligh;
sédiment;baligh;
valise;balizt;
têtu;ballagh;
qui exagère;ballagh;
difficulté;ballaght;
marais;balma;
apparaître;ban;
être apparent;ban;
prendre une var. bin décision irrévocable;faire un tour de magie;äezzem;
surdité;äezzsegt;
rouge-gorge;äezzsi;
sourd;äezzsug;
les hommes;äibad;
les gens;äibad;
ouvertement;äinani;
au grand jour;äinani;
devant tout le monde;äinani;
stérile;äiqer;
être stérile;äiqer;
répéter;äiwed;
changer;äiwed;
plat;baqec;
ustensile;baqec;
plat;baqit;
énorme;barabuz;
énorme;barar;
renard;baregh;
bénir;barek;
poudre à canon;barod;
à fusil;barod;
bassin;basan;
boue;baxix;
catastrophe - s.fig. -;baxix;
faucon;baz;
purée de semoule;bazin;
soupe;bazin;
sein;bbuct;
les portes;bbura;
têtard;berdedduc;
porte;bburt;
mention;bdar;
commencer;bdu;
entamer;bdu;
sans eau;beäli;
pisser;becc;
l’urine;beccan;
fusil;beckidh;
être debout;bedd;
se mettre debout;bedd;
changer;beddel;
transformer;beddel;
se changer;beddel;
se mettre debout;beded;
être debout;beded;
citer;beder;
plier;bedtten;
melon;bedttix;
beggen : voir  beyye;beggen;
enroué;beh’bah’;
s’enrouer;beh’beh’;
être enroué;beh’beh’;
chiffon;beh’nuq;
lange;beh’nuq;
morceau d’étoffe;beh’nuq;
n. vent;beh’ri;
rhume;n. et adj. marin;beh’ri;
singe;bekki;
tranquille;bekkuc;
plat;belbadh;
aplati;belbadh;
gros;belbul;
lézard panthérin;beleh’luh’t;
reptile;belh’ekkuc;
caille;berdefelt;
se cacher;berek;
se camoufler;berek;
tordre;beren;
resplendir;bereq;
avoir un éclair;bereq;
être bariolé;bereqec;
nettoyer;berez;
dégager;berez;
être nettoyé;berez;
dégagé;berez;
poumon;berfiw;
flanc;berhdi;
côtes;berhdi;
tordre;berhem;
rouler - cigarette-;berhem;
burnous;berhenus;
chiot;berhhuc;
petit d’animal;berhhuc;
tacheté;berhsi;
qui a des taches;berhsi;
chemin;berid;
voie;berid;
route;fois;berid;
sentier;beridt;
noir;berkan;
être rond;bernenni;
chignole;bernint;
vis;bernint;
tournevis;bernint;
bariolé;berqac;
multicolore;berqac;
les prunes;berquq;
prunier;berquqt;
proclamer;:;
clamer;:;
foncer;berrez;
regard  de  travers;berrhem;
regarder  d;berrhem;
de travers;bellegdis;
désencombrer;bellez;
cigogne;bellirej;
glands;belludh;
chêne à glands ou chêne-liège;belludht;
large tambour en peau de chèvre;bendayer;
tapé à la main;bendayer;
pinson;benferriw;
maçon;bennay;
constructeur;bennay;
gifle;beqqa;
gifler;beqqes;
gifle;beqqis;
punaise;beqqiw;
cafetière;beqraj;
théière;beqraj;
tacheté;berbac;
être tacheté;berbec;
avoir  une  belle végétation;berber;
être couvert de verdure;berber;
être bercé;berber;
feuille de courge;berbor;
rondelet;berbuz;
potelé;berbuz;
;:;
diarrhée;berridh;
être noir;berrik;
fourmi ailée;berriq;
mâle;berriq;
lâcher;berru;
action  de  lâcher;berru;
de relâcher;répudiation;berru;
asphodèles;berwaq;
brouette;berwidht;
verdier - oiseau -;berzegzaw;
fenouil;besbas;
couche de bébé;bessast;
lange;bessast;
obligatoirement;bessif;
forcé;bessif;
sous la contrainte;bessif;
les oignons;beszel;
un oignon;beszelt;
baril;bettit;
sauf;bexlaf;
excepté;bexlaf;
rien que;bexlaf;
figue fraîche;bexsist;
montrer;beyyen;
démontrer;beyyen;
prouver;beyyen;
millet;bsis;
celui qui a;bu;
celui pourvu de...;bu;
celui au gros nez: w’anzaren;
émerillon;buäemmar;
collecter;bezer;
uriner;:;
fantôme maléfique;buberrak;
sorte de maladie de;buch’idh;
l’urine;bezsedan;
être engourdi;bezwez;
le vouloir;bghi;
l'intention;bghi;
vouloir;bghu;
désirer;bghu;
enfant;bghur;
chéri;bghur;
impétigo;biba;
pyodermite -maladie de la peau-;biba;
porter sur le dos;bibb;
enflure;bibidh;
vanneau - oiseau -;bibidh;
ail sauvage;bibrâs;
burnous;bidi;
bidon;bidun;
seau;bidun;
apparaître;bin;
se montrer;bin;
dattes;bina;
dattier;binewt;
micocoulier;biqes;
bureau;biru;
service - administratif -;biru;
épinards;bitas;
sans;bla;
pierre;bladh;
cil;blaw;
gourde;blawt;
lynx;blinser;
atteindre d’un mal;blu;
fil de laine;blul;
fil de trame;rouleau d’argile -poterie-;blul;
être souillé;blulegh;
trou;bnikt;
adj. doux;bnin;
délicieux;v.q. form.acc. de ibnin;bnin;
foulard;S. cellule;bniqt;
construire;bnu;
arum;bquq;
bulbe d’arum;bquq;
gouet - bot.-;bquq;
adj. écrasé;n. grumeau;brarac;
fin;braraz;
granuleux;braraz;
lettre;brâtt;
canard;brhik;
écraser;bri;
réduire en miettes;bri;
broche;broc;
détacher;bru;
lâcher;bru;
répudier;bru;
extrémité d’une robe;bruä;
trou d’eau;brun;
flaque;brunt;
balancer;bruqqel;
avoir des ballonnements - liquide -;bruqqel;
être en grains;brurez;
brin;bruy;
petit morceau;bruy;
variété chêne-liège;bucic;
arbre chêne-liège;bucict;
ouragan;:;
papillon;bucridha;
massette;buda;
lierre;budafel;
favoriser;budd;
souhaiter qque chose à quelqu’un;budd;
souhait;buddu;
fait de souhaiter qque ch. à quelqu’un;buddu;
goulot;budh;
bec verseur - cafetière;budh;
gargoulette...;budh;
furoncle;budhec;
pieu;budid;
piquet;irrégularité de tissage;budid;
dépotoir;budu;
dépôt de détritus;budu;
gros-bec;bufdhis;
entérite -maladie-;buferda;
muet;bugam;
œsophage de ruminant;buh’cic;
mésange;buh’eddayed;
être aéré;buh’ru;
être éventé;buh’ru;
simple  d’esprit;buhal;
être jonché;bules;
